stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	transcribed	p_back
azbeszt	30	3407	-4.732390035998812	3437	TRUE	5.453269086520222	azbest	0.008728542333430313
bagett	24	4529	-5.240202613208268	4553	TRUE	4.886050553012019	bagett	0.005271249725455744
bagger	6	47	-2.0583881324820035	53	TRUE	2.306676118786756	bagger	0.11320754716981134
bakter	366	268	0.3116463528905096	634	TRUE	12.438365397187171	bakter	0.5772870662460569
balek	5215	225	3.1431939652304526	5440	TRUE	14.686522182720095	balek	0.9586397058823529
balett	2755	14133	-1.635095045781136	16888	TRUE	48.016319836385144	balett	0.16313358597820937
bankett	107	5232	-3.889720058675128	5339	TRUE	10.23990190063518	bankett	0.020041206218392966
barchesz	8	37	-1.5314763709643884	45	TRUE	2.5647178748895127	barhes	0.1777777777777778
barrel	2	81	-3.7013019741124937	83	TRUE	1.3970709462713993	barrel	0.024096385542168666
barter	45	564	-2.528391761727739	609	TRUE	6.455608170210661	barter	0.07389162561576355
bojler	312	915	-1.075920877466039	1227	TRUE	15.253361487712032	bojler	0.254278728606357
bovden	13	531	-3.709812663780402	544	TRUE	3.5622097404973387	bovden	0.02389705882352941
brojler	1	255	-5.541263545158426	256	TRUE	0.998044963916957	brojler	0.003906250000000002
bróker	28	8545	-5.720897085374487	8573	TRUE	5.282854351498676	bróker	0.0032660678875539493
brúder	2	8	-1.3862943611198906	10	TRUE	1.2649110640673518	brúder	0.2
bukfenc	3	3841	-7.154875739677795	3844	TRUE	1.7313747973404732	bukfenc	7.804370447450573e-4
bunker	1217	8567	-1.9515287989765169	9784	TRUE	32.643855785175	bunker	0.12438675388389206
burleszk	3	1191	-5.983936280687191	1194	TRUE	1.729873495824995	burlesk	0.002512562814070351
charter	3	1950	-6.476972362889683	1953	TRUE	1.7307199961487487	harter	0.001536098310291859
codec	1	353	-5.8664680569332965	354	TRUE	0.9985865717317342	kodek	0.0028248587570621473
docens	6	29878	-8.513118233374207	29884	TRUE	2.449243830652437	docenš	2.0077633516262886e-4
dodzsem	3	653	-5.382964840608321	656	TRUE	1.728085787165926	dodžem	0.0045731707317073185
dojen	8	3075	-5.951618638560782	3083	TRUE	2.824755033454569	dojen	0.0025948751216347725
doppler	6	348	-4.060443010546419	354	TRUE	2.428642642453962	doppler	0.016949152542372885
drukker	27	18506	-6.530013416804646	18533	TRUE	5.192366007915616	drukker	0.0014568607349053045
duett	20	11632	-6.3657829262193095	11652	TRUE	4.468296222210412	duett	0.0017164435290078959
