word,source languages,first year attested,
luesz,,,
szkander,,,
sumer,,,
kolesz,,,
matek,,,
gatyesz,,,
malter,,,
subler,,,
prakker,,,
totem,,1845,
traverz,,,
zacsek,,,
karter,,,
lasztex,,,
rakett,angol,1831,
hotel,angol,,
szoftver,angol,1990,
bróker,angol,1991,nagysz
burleszk,angol,1788,
charter,angol,1994,nagysz
codec,angol,2000,
brojler,angol,1994,
dodzsem,angol,1964,
bovden,angol,1990,wikt
parszek,angol,1990,
raszter,angol,1950,
projekt,angol,,
dzsungel,angol,1872,
dózer,angol,1962,
transzfer,angol,,
farmer,angol,1793,
barrel,angol,,
token,angol,,
rocker,angol,1950,
korner,angol,,
makett,angol,1902,
konzerv,angol,1872,
konszern,angol,,
poszter,angol,,
modem,angol,1990,
motel,angol,1958,
klozet,angol,,
hardver,angol,1990,
klaszter,angol,,
puffer,angol,,
bukfenc,"belső keletkezésű, de kialakulásmódja bizonytalan",1574,
bojler,bojler,1914,nagysz
omlett,francia,1848,
dojen,francia,1894,"nagysz, wikt"
pakett,francia,,
szlogen,francia,,
szubrett,francia,,
nonszensz,francia,,
plakett,francia,1897,
bagett,francia,1983,nagysz
moped,francia,,
modern,francia,1799,
koncert,francia,1753,
balett,francia,1791,
bankett,francia,1649,
fotel,francia,1848,
flóbert,francia,1900,wikt
kornett,francia,,wikt
barter,francia,1988,nagysz
korvett,francia,1806,
zsáner,francia,,
krokett,francia,,
lumen,francia,,
zsorzsett,francia,,
rulett,francia,1818,
tandem,francia,,
lornyett,francia,,
zsakett,francia,1858,
szonett,francia,1789,
bagger,holland,1893,nagysz
sólet,jiddis,1870,
jampec,jiddis,1921,
haver,jiddis,1862,
halef,jiddis,,
sakter,jiddis,1782,
gólem,jiddis,,
sábesz,jiddis,,
macesz,jiddis,1862,
samesz,jiddis,1864,
pajesz,jiddis,1875,
barchesz,jiddis,1879,nagysz
ágens,latin,1616,
fráter,latin,1372,
korrekt,latin,1698,
ájer,latin,1565,
mater,latin,,
pollen,latin,1800,
ómen,latin,,
pátens,latin,1614,
kráter,latin,1636,
vátesz,latin,,
latex,latin,,
ámen,latin,1200,
mágnes,latin,1577,
kódex,latin,1559,
karcer,latin,1647,
páter,latin,1585,
azbeszt,német,1655,
modell,német,1789,
notesz,angol,1873,
pamflet,német,1796,
panel,német,1953,
kábel,német,1867,
póker,német,1873,
partner,angol,1839,
okker,német,1682,
fater,német,1628,
láger,német,1759,
brúder,német,1787,nagysz
majszter,német,1611,
macher,német,1878,
lóden,német,1788,
lumpen,német,,
kóter,német,1720,
mutter,német,1840,
púder,német,1713,
kókler,német,1629,
káder,német,1885,
parkett,német,1817,
roller,német,1932,
bunker,német,1906,
docens,német,1846,
kukker,német,1803,
saller,német,,
doppler,német,1900,wikt
drukker,német,1872,
sláger,német,1854,
sparherd,német,,
srapnel,német,1848,
stukker,német,,
vamzer,német,,
koffer,német,1757,
suszter,német,1608,
valcer,német,1793,
kartell,német,1807,
kampec,német,1848,
kadet,német,1732,
tróger,német,1623,
junker,német,,
gukker,német,1900,
sóder,német,1781,
fuser,német,1564,
flaszter,német,1795,
flanel,német,1697,
muter,német,1840,
bakter,német,1638,
falzett,olasz,1834,
duett,olasz,1799,
pasztell,olasz (é,1788,
szovjet,orosz,1895,
balek,"oszmán-török, esetleg bolgár jövevényszó",1782,
skanzen,svéd,,
klapec,szlovák,1774,
krapek,szlovák,1862,
kupec,szlovák,1632,
maszek,szórövidítéssel keletkezett szóösszevonás eredménye,1951,
kopek,vándorszó,1757,
rubel,vándorszó,1725,
