id	yob	age	gender	total_time	i	target	accept	rt	upper_time	lower_time
GVH1BZ	2000	24	férfi	572051	8	pámen	TRUE	3760	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	16	bojex	TRUE	2921	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	21	pofszett	TRUE	3761	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	22	kamesz	TRUE	3816	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	27	kampesz	TRUE	3156	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	28	hókens	FALSE	3199	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	35	pódens	FALSE	3918	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	38	pofszett	TRUE	3740	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	39	bralek	TRUE	3148	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	44	takkesz	TRUE	3406	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	47	slotens	TRUE	1462	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	48	rojett	TRUE	1992	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	49	bachesz	TRUE	2195	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	51	ojett	FALSE	2482	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	52	pámen	FALSE	3064	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	53	kranel	FALSE	3498	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	56	suter	FALSE	1791	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	58	gortesz	FALSE	3570	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	60	sapec	TRUE	3641	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	62	bojex	FALSE	3313	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	66	hacel	TRUE	1969	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	67	sapec	TRUE	2593	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	68	pódens	TRUE	2605	1010371.3267999999	-224391.32679999992
GVH1BZ	2000	24	férfi	572051	70	hodel	TRUE	1691	1010371.3267999999	-224391.32679999992
