stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	transcribed	p_back	n1	n2	borrowing_language2	borrowing_period2	stem_log10_freq	international2	category_educated	borrowing_language	borrowing_period	borrowing_label	borrowing_category	first_mention	borrowing_original	international	note	category_educated_other
azbeszt	30	3407	-4.732390035998812	3437	TRUE	5.453269086520222	azbest	0.00872854233343031	47	15	German (n = 47)	17th c (n = 15)	-0.41806297730209957	international word	FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1655	nemzetközi	TRUE	international word	colloquial
bagett	24	4529	-5.240202613208268	4553	TRUE	4.886050553012019	bagett	0.00527124972545574	27	23	French (n = 27)	20th c (n = 23)	-0.295944859131135		TRUE	French	20th c	French	French/Latin (educated)	1983	NA	NA	NA	educated
bagger	6	47	-2.0583881324820035	53	TRUE	2.306676118786756	bagger	0.11320754716981134	29	40	other (n = 29)	19th c (n = 40)	-2.229966639838536		NA	other	19th c		NA	1893	NA	NA	NA	other
bakter	366	268	0.3116463528905096	634	TRUE	12.438365397187171	bakter	0.5772870662460569	47	15	German (n = 47)	17th c (n = 15)	-1.152153251557592		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1638	német (baj	FALSE	NA	colloquial
balek	5215	225	3.1431939652304526	5440	TRUE	14.686522182720095	balek	0.9586397058823528	29	26	other (n = 29)	18th c (n = 26)	-0.21864360974114497		NA	other	18th c		NA	1782	oszmán-török, esetleg bolgár jövevényszó	FALSE	NA	other
balett	2755	14133	-1.635095045781136	16888	TRUE	48.016319836385144	balett	0.16313358597820937	27	26	French (n = 27)	18th c (n = 26)	0.2733357108602751	international word	TRUE	French	18th c	French	French/Latin (educated)	1791	nemzetközi	TRUE	international word	educated
bankett	107	5232	-3.889720058675128	5339	TRUE	10.23990190063518	bankett	0.02004120621839296	27	15	French (n = 27)	17th c (n = 15)	-0.22678258858141603	international word	TRUE	French	17th c	French	French/Latin (educated)	1649	nemzetközi	TRUE	international word	educated
barrel	2	81	-3.7013019741124937	83	TRUE	1.3970709462713993	barrel	0.02409638554216866	33	50	English (n = 33)	unknown (n = 50)	-2.035164417063251		NA	English	unknown		NA	NA	NA	NA	NA	other
barter	45	564	-2.528391761727739	609	TRUE	6.455608170210661	barter	0.07389162561576355	27	23	French (n = 27)	20th c (n = 23)	-1.1696252168064496		TRUE	French	20th c	French	French/Latin (educated)	1988	NA	NA	NA	educated
bojler	312	915	-1.075920877466039	1227	TRUE	15.253361487712032	bojler	0.254278728606357	29	23	other (n = 29)	20th c (n = 23)	-0.8653979467123206		NA	other	20th c		NA	1914	NA	NA	NA	other
bovden	13	531	-3.709812663780402	544	TRUE	3.5622097404973387	bovden	0.02389705882352941	33	23	English (n = 33)	20th c (n = 23)	-1.218643609741145		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
brojler	1	255	-5.541263545158426	256	TRUE	0.998044963916957	brojler	0.00390625	33	23	English (n = 33)	20th c (n = 23)	-1.5460025441274754		NA	English	20th c	English; 20th c	NA	1994	NA	NA	NA	other
bróker	28	8545	-5.720897085374487	8573	TRUE	5.282854351498676	bróker	0.00326606788755394	33	23	English (n = 33)	20th c (n = 23)	-0.021109685712590576		NA	English	20th c	English; 20th c	NA	1991	NA	NA	NA	other
bukfenc	3	3841	-7.154875739677795	3844	TRUE	1.7313747973404732	bukfenc	7.804370447450573e-4	29	6	other (n = 29)	16th c (n = 6)	-0.36945913044281714		NA	other	16th c		NA	1574	belső keletkezésű, de kialakulásmódja bizonytalan	FALSE	NA	other
bunker	1217	8567	-1.9515287989765169	9784	TRUE	32.643855785175	bunker	0.12438675388389206	47	23	German (n = 47)	20th c (n = 23)	0.03627393458890418		FALSE	German	20th c	German; 20th c	German/Yiddish (colloquial)	1906	német	FALSE	NA	colloquial
burleszk	3	1191	-5.983936280687191	1194	TRUE	1.729873495824995	burlesk	0.00251256281407035	33	26	English (n = 33)	18th c (n = 26)	-0.8772381826459746	international word	NA	English	18th c	English; 18th c	NA	1788	nemzetközi	TRUE	international word	other
charter	3	1950	-6.476972362889683	1953	TRUE	1.7307199961487487	harter	0.00153609831029185	33	23	English (n = 33)	20th c (n = 23)	-0.6635402661514705		NA	English	20th c	English; 20th c	NA	1994	NA	NA	NA	other
codec	1	353	-5.8664680569332965	354	TRUE	0.9985865717317342	kodek	0.00282485875706214	33	23	English (n = 33)	20th c (n = 23)	-1.4052392474135371		NA	English	20th c	English; 20th c	NA	2000	NA	NA	NA	other
docens	6	29878	-8.513118233374207	29884	TRUE	2.449243830652437	docenš	2.0077633516262888e-4	47	40	German (n = 47)	19th c (n = 40)	0.5211962182977786		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1846	német	FALSE	NA	colloquial
dodzsem	3	653	-5.382964840608321	656	TRUE	1.728085787165926	dodžem	0.00457317073170731	33	23	English (n = 33)	20th c (n = 23)	-1.1373386700636645		NA	English	20th c	English; 20th c	NA	1964	NA	NA	NA	other
doppler	6	348	-4.060443010546419	354	TRUE	2.428642642453962	doppler	0.01694915254237288	47	40	German (n = 47)	19th c (n = 40)	-1.4052392474135371		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1900	NA	NA	NA	colloquial
drukker	27	18506	-6.530013416804646	18533	TRUE	5.192366007915616	drukker	0.0014568607349053	47	40	German (n = 47)	19th c (n = 40)	0.31370321630099324		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1872	a szócsalád drukkol és drukk tagja német jövevényszó	FALSE	NA	colloquial
duett	20	11632	-6.3657829262193095	11652	TRUE	4.468296222210412	duett	0.00171644352900789	29	26	other (n = 29)	18th c (n = 26)	0.1121579665163048		NA	other	18th c		NA	1799	NA	NA	NA	other
dzsungel	505	19590	-3.658216081663227	20095	TRUE	22.18803804074476	džungel	0.0251306295098283	33	40	English (n = 33)	19th c (n = 40)	0.3488455010887288	international word	NA	English	19th c	English; 19th c	NA	1872	nemzetközi	TRUE	international word	other
dózer	130	788	-1.8019636394022969	918	TRUE	10.563636397725697	dózer	0.14161220043572983	33	23	English (n = 33)	20th c (n = 23)	-0.9913998282380825		NA	English	20th c	English; 20th c	NA	1962	NA	NA	NA	other
falzett	31	212	-1.9225990701868665	243	TRUE	5.20050646473129	falzett	0.12757201646090532	29	40	other (n = 29)	19th c (n = 40)	-1.5686362358410126		NA	other	19th c		NA	1834	NA	NA	NA	other
farmer	7287	20249	-1.0220134709289872	27536	TRUE	73.20247222109023	farmer	0.2646353864032539	33	26	English (n = 33)	18th c (n = 26)	0.48565834354416015		NA	English	18th c	English; 18th c	NA	1793	NA	NA	NA	other
fater	5385	190	3.344348517430003	5575	TRUE	13.54712750649119	fater	0.9659192825112108	47	15	German (n = 47)	17th c (n = 15)	-0.20799763771912658		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1628	német	FALSE	NA	colloquial
flanel	73	159	-0.7784447610718404	232	TRUE	7.07320100193633	flanel	0.3146551724137931	47	15	German (n = 47)	17th c (n = 15)	-1.5887545245484251		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1697	német	FALSE	NA	colloquial
flaszter	194	922	-1.5586870644932656	1116	TRUE	12.660015231550174	flaster	0.1738351254480287	47	26	German (n = 47)	18th c (n = 26)	-0.906578314837765		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1795	német	FALSE	NA	colloquial
flóbert	5	50	-2.3025850929940455	55	TRUE	2.1320071635561044	flóbert	0.09090909090909093	27	40	French (n = 27)	19th c (n = 40)	-2.213879819945081		TRUE	French	19th c	French	French/Latin (educated)	1900	NA	NA	NA	educated
fotel	11597	25177	-0.7751844353673116	36774	TRUE	89.10547356389542	fotel	0.3153586773263719	27	40	French (n = 27)	19th c (n = 40)	0.6112983622964289	international word	TRUE	French	19th c	French	French/Latin (educated)	1848	nemzetközi	TRUE	international word	educated
fráter	34	997	-3.378390245345677	1031	TRUE	5.73400021685611	fráter	0.03297769156159069	15	2	Latin (n = 15)	before 16th c (n = 2)	-0.9409838441558084		TRUE	Latin	before 16th c	Latin	French/Latin (educated)	1372	latin	FALSE	NA	educated
fuser	5	19	-1.3350010667323402	24	TRUE	1.9895560643855537	fušer	0.20833333333333331	47	6	German (n = 47)	16th c (n = 6)	-2.574031267727719		FALSE	German	16th c	German; 16th c	German/Yiddish (colloquial)	1564	német (k	FALSE	NA	colloquial
gatyesz	22	9	0.8938178760220965	31	TRUE	2.527270617522696	gaṯes	0.7096774193548386	29	50	other (n = 29)	unknown (n = 50)	-2.462880815605052		NA	other	unknown		NA	NA	NA	NA	NA	other
gukker	18	52	-1.0608719606852628	70	TRUE	3.656696401320264	gukker	0.2571428571428571	47	40	German (n = 47)	19th c (n = 40)	-2.109144469425068		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1900	NA	NA	NA	colloquial
gólem	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046	gólem	5.757052389176739e-4	11	50	Yiddish (n = 11)	unknown (n = 50)	-0.7144426909922262		FALSE	Yiddish	unknown	Yiddish	German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
hardver	116	33523	-5.6663968582915585	33639	TRUE	10.751743491594286	hardver	0.00344837837034394	33	23	English (n = 33)	20th c (n = 23)	0.5726005674327725		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
haver	71848	634	4.7302591009135595	72482	TRUE	25.06899284918201	haver	0.9912530007450124	11	40	Yiddish (n = 11)	19th c (n = 40)	0.9059876589074144		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1862	jiddis	FALSE	NA	colloquial
